"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
1,"UKRN02","Full-time","Other (Please specify)","Year 1",3,"Psychology BSC","Female","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
2,"UKRN02","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
4,"UKRN02","Full-time","Yes","Year 1",3,"Psychology with Forensic Investigation ","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
6,"UKRN02","Full-time","No","Year 1",3,"BSc Psychology","female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
7,"UKRN02","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
8,"UKRN02","Full-time","Yes","Year 1",3,"Psycholigy","female","UKRN",1,1,1,0,0,0,0,1,1,1,1,1,1
9,"UKRN02","Full-time","Yes","Year 2",3,"BSc Pyschology ","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
10,"UKRN02","Full-time","Yes","Year 2",4,"BSc (Hons) Psychology","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
11,"UKRN02","Full-time","Yes","Year 2",3,"BsC Psychology ","Female ","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
14,"UKRN02","Full-time","Yes","Year 2",4,"Psychology","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
15,"UKRN02","Full-time","Yes","Year 1",4,"BPS Psychology ","Female ","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
16,"UKRN02","Full-time","Yes","Year 2",3,"Psychology ","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
17,"UKRN02","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
18,"UKRN02","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
19,"UKRN02","Full-time","Yes","Year 1",3,"BSc (Hons) Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
20,"UKRN02","Full-time","Yes","Year 1",3,"Psychology ","Male","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
23,"UKRN02","Full-time","Other (Please specify)","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
58,"UKRN02","Full-time","Yes","Year 1",4,"Psychology with counselling","Female","UKRN",1,1,0,1,0,1,0,1,1,1,1,1,1
79,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
80,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
81,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
82,"UKRN01","Full-time","No","Year 2",3,"Psychology ","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
83,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
84,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
85,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
86,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
87,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
88,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
89,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
90,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
91,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
92,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
93,"UKRN01","Full-time","Yes","Year 1",3,"Psychology Bsc","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
95,"UKRN01","Full-time","Yes","Year 1",4,"Psychology with placement year","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
96,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
99,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
100,"UKRN01","Full-time","No","Year 2",3,"Psychology","Male","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
101,"UKRN01","Full-time","No","Year 2",3,"Psychology BSc","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
102,"UKRN01","Full-time","Yes","Year 1",3,"Psychology Bsc","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
103,"UKRN01","Full-time","No","Year 1",3,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
104,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
105,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology with Placement Year","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
106,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
108,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female ","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
109,"UKRN01","Full-time","No","Year 2",3,"BSc Psychology ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
110,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
111,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology  ","Female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
112,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
113,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
114,"UKRN01","Full-time","Yes","Year 1",4,"PSYCHOLOGY ","FEMALE","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
115,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
116,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
117,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
118,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
119,"UKRN01","Full-time","Other (Please specify)","Year 1",3,"Psychology","Female","UKRN",1,1,1,NA,0,0,0,1,1,0,1,1,1
120,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
121,"UKRN01","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
122,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,1,1,1,0,1,1,1,1,1,1,1
123,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
124,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
125,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
126,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
127,"UKRN01","Full-time","Yes","Year 1",3,"BSc psychology","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
128,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
129,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,0,NA,NA,1,0,0,1,0,0,1,1,1
130,"UKRN01","Full-time","Yes","Year 1",4,"BSc (Hons) Psychology","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
131,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
132,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
133,"UKRN01","Full-time","No","Year 2",3,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
134,"UKRN01","Full-time","No","Year 2",3,"Psychology","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
135,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
137,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
138,"UKRN01","Full-time","Yes","Year 2",4,"Psychology Bsc","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
139,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
140,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
141,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
142,"UKRN01","Full-time","Yes","Year 2",4,"BSc psychology ","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
143,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology ","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
144,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc ","Male ","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
145,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
146,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
147,"UKRN01","Full-time","No","Year 2",3,"Psychology ","Female","UKRN",1,0,NA,NA,0,1,0,1,0,0,1,1,1
148,"UKRN01","Full-time","Yes","Year 1",4,"psychology bsc","female","UKRN",1,1,1,0,1,0,0,1,1,1,1,1,1
150,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
151,"UKRN01","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
152,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","F","UKRN",1,1,0,1,1,0,1,1,1,1,1,1,1
154,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
155,"UKRN01","Full-time","Yes","Year 1",3,"Bsc Psychology","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
156,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
157,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
158,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female ","UKRN",1,1,1,0,1,0,1,1,1,1,1,1,1
159,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
160,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
161,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
162,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
163,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
164,"UKRN01","Full-time","Yes","Year 2",4,"Psychology (BSc)","Female","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
165,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
166,"UKRN01","Full-time","Yes","Year 1",3,"Psychology","Female","UKRN",1,1,1,NA,0,1,1,1,1,0,1,1,1
167,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc ","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
168,"UKRN01","Full-time","Yes","Year 1",3,"Bsc Psychology","Female","UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
169,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,1,NA,0,0,1,1,1,0,1,1,1
170,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","male","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
171,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
172,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
174,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Male","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
175,"UKRN01","Full-time","Yes","Year 1",3,"Psychology BSc","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
178,"UKRN01","Full-time","Yes","Year 2",3,"BSc Psychology","Female","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
179,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","Female","UKRN",1,1,1,1,1,0,1,1,1,1,1,1,1
180,"UKRN01","Full-time","Yes","Year 1",3,"Psychology","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
181,"UKRN01","Full-time","No","Year 2",3,"Psychology ","Female","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
182,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,1,0,0,0,1,1,1,1,1,1
183,"UKRN01","Full-time","Yes","Year 1",4,"BCs psychology ","female","UKRN",1,1,0,0,1,0,1,1,1,1,1,1,1
184,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
185,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
186,"UKRN01","Full-time","Yes","Year 1",4,"Psychology (BSc)","Male","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
187,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
188,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
189,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
190,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
191,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
192,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
194,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
195,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
197,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bcs","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
198,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
199,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
200,"UKRN01","Full-time","Yes","Year 2",4,"psychology","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
201,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Male","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
202,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
203,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
