"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
1,"UKRN02","Full-time","Other (Please specify)","Year 1",3,"Psychology BSC","Female","UKRN",1,1,0,1,1,0,1,0,1,5,1,1,0,1,1,1
2,"UKRN02","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,0,1,1,0,0,1,1,4,1,1,1,0,1,1
4,"UKRN02","Full-time","Yes","Year 1",3,"Psychology with Forensic Investigation ","Female ","UKRN",1,1,0,0,1,1,0,0,1,4,1,1,0,0,0,1
6,"UKRN02","Full-time","No","Year 1",3,"BSc Psychology","female","UKRN",1,1,0,1,1,1,1,1,1,7,1,1,1,1,1,1
7,"UKRN02","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,1,0,0,1,1,1,1,1,6,0,NA,9999,0,0,1
8,"UKRN02","Full-time","Yes","Year 1",3,"Psycholigy","female","UKRN",1,1,1,1,1,0,0,0,0,4,1,1,0,0,0,1
9,"UKRN02","Full-time","Yes","Year 2",3,"BSc Pyschology ","Female","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,1,0,0,1
10,"UKRN02","Full-time","Yes","Year 2",4,"BSc (Hons) Psychology","Female ","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,0,0,0,1
11,"UKRN02","Full-time","Yes","Year 2",3,"BsC Psychology ","Female ","UKRN",1,1,1,1,1,1,0,1,1,7,1,1,0,0,1,1
14,"UKRN02","Full-time","Yes","Year 2",4,"Psychology","Female ","UKRN",1,0,0,1,0,0,1,1,1,4,1,1,0,0,0,1
15,"UKRN02","Full-time","Yes","Year 1",4,"BPS Psychology ","Female ","UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,0,0,1
16,"UKRN02","Full-time","Yes","Year 2",3,"Psychology ","Female","UKRN",1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
17,"UKRN02","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,0,0,0,0,0,0,2,1,1,1,0,0,1
18,"UKRN02","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,1,0,0,0,0,1,1,1,4,1,1,0,0,0,1
19,"UKRN02","Full-time","Yes","Year 1",3,"BSc (Hons) Psychology","Female","UKRN",1,1,0,1,1,0,1,1,1,6,1,1,1,1,1,1
20,"UKRN02","Full-time","Yes","Year 1",3,"Psychology ","Male","UKRN",1,1,0,1,0,0,0,1,1,4,1,1,1,0,1,1
23,"UKRN02","Full-time","Other (Please specify)","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,1,0,0,0,1,5,1,1,1,1,1,1
58,"UKRN02","Full-time","Yes","Year 1",4,"Psychology with counselling","Female","UKRN",1,0,1,0,0,0,1,1,0,3,1,0,1,0,1,1
79,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,0,0,0,0,1,1,4,1,1,1,0,0,1
80,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology ","Female","UKRN",1,0,0,1,1,1,1,0,1,5,1,0,0,0,0,1
81,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female ","UKRN",1,1,1,0,0,1,1,1,1,6,0,NA,9999,1,1,1
82,"UKRN01","Full-time","No","Year 2",3,"Psychology ","female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,1,0,1
83,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,1,0,0,1,0,1,0,4,0,NA,9999,0,0,1
84,"UKRN01","Full-time","Yes","Year 2",3,"Psychology","Female","UKRN",1,1,1,0,1,1,0,1,0,5,1,1,0,0,1,1
85,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,0,0,0,0,1,1,4,1,1,1,0,0,1
86,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,0,1,1,0,1,0,1,4,0,NA,9999,1,1,1
87,"UKRN01","Full-time","Yes","Year 1",4,"BSc psychology","Female","UKRN",1,1,1,1,1,1,1,0,0,6,1,0,0,0,0,1
88,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female ","UKRN",1,0,0,0,0,0,0,0,0,0,0,NA,9999,0,0,1
89,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,0,0,1
90,"UKRN01","Full-time","No","Year 1",3,"Psychology Bsc","Female","UKRN",1,1,0,1,0,0,0,0,1,3,1,1,0,0,1,1
91,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,0,1,1,0,1,0,1,5,0,NA,9999,0,0,1
92,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,1,0,1
93,"UKRN01","Full-time","Yes","Year 1",3,"Psychology Bsc","Female","UKRN",1,0,0,1,0,0,0,1,1,3,1,0,1,0,0,1
95,"UKRN01","Full-time","Yes","Year 1",4,"Psychology with placement year","Female","UKRN",1,1,1,1,1,1,1,1,1,8,1,1,0,0,0,1
96,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,1,1,1,1,1,1,0,7,1,1,0,0,0,1
99,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,0,0,1,0,1,5,1,0,1,0,0,1
100,"UKRN01","Full-time","No","Year 2",3,"Psychology","Male","UKRN",1,1,1,1,1,0,1,1,1,7,1,1,0,1,1,1
101,"UKRN01","Full-time","No","Year 2",3,"Psychology BSc","Male","UKRN",1,1,0,1,1,0,0,0,1,4,1,1,1,0,0,1
102,"UKRN01","Full-time","Yes","Year 1",3,"Psychology Bsc","Male","UKRN",1,1,1,0,1,1,1,0,0,5,0,NA,9999,0,0,1
103,"UKRN01","Full-time","No","Year 1",3,"Psychology BSc","Female","UKRN",1,1,1,1,0,1,1,0,1,6,0,NA,9999,0,0,1
104,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,0,1,1,0,0,1,5,1,1,0,0,0,1
105,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology with Placement Year","Female","UKRN",1,1,0,1,0,0,0,0,1,3,0,NA,9999,0,0,1
106,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,0,1,1,1,1,0,1,6,0,NA,9999,0,0,1
108,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female ","UKRN",1,1,0,1,0,0,0,0,1,3,1,1,1,0,0,1
109,"UKRN01","Full-time","No","Year 2",3,"BSc Psychology ","Female","UKRN",1,0,0,0,1,0,0,0,0,1,0,NA,9999,0,0,1
110,"UKRN01","Full-time","Yes","Year 2",4,"Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
111,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology  ","Female ","UKRN",1,1,1,1,1,1,1,0,1,7,0,NA,9999,1,1,1
112,"UKRN01","Full-time","Yes","Year 2",4,"Psychology ","Female","UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
113,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,1,1,0,1,1,0,1,6,0,NA,9999,1,0,1
114,"UKRN01","Full-time","Yes","Year 1",4,"PSYCHOLOGY ","FEMALE","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,0,0,1
115,"UKRN01","Full-time","No","Year 1",3,"Psychology","Female","UKRN",1,1,1,1,0,0,1,1,1,6,1,0,1,0,0,1
116,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,0,1,0,0,1,0,1,4,0,NA,9999,0,0,1
117,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","Female","UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,9999,0,0,1
118,"UKRN01","Full-time","Yes","Year 1",4,"Psychology","female","UKRN",1,1,1,1,1,1,1,1,1,8,1,0,1,0,0,1
119,"UKRN01","Full-time","Other (Please specify)","Year 1",3,"Psychology","Female","UKRN",1,1,0,1,0,0,1,0,1,4,1,1,9999,0,0,1
120,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","female","UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,9999,0,0,1
121,"UKRN01","Full-time","No","Year 2",3,"Psychology","Female","UKRN",1,1,1,1,1,0,1,1,1,7,1,0,1,0,0,1
122,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,0,1,1,0,0,1,1,5,1,1,1,1,0,1
123,"UKRN01","Full-time","Yes","Year 2",4,"Psychology BSc","Female","UKRN",1,1,0,1,1,0,1,1,1,6,1,1,0,0,0,1
124,"UKRN01","Full-time","Yes","Year 1",4,"BSc Psychology","Female","UKRN",1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1
125,"UKRN01","Full-time","Yes","Year 2",4,"BSc Psychology","Female","UKRN",1,1,0,1,1,1,1,1,0,6,1,1,1,0,1,1
126,"UKRN01","Full-time","Yes","Year 1",4,"Psychology BSc","Female","UKRN",1,1,0,1,1,0,0,0,1,4,0,NA,9999,1,0,1
127,"UKRN01","Full-time","Yes","Year 1",3,"BSc psychology","Female ","UKRN",1,1,1,1,0,0,0,0,0,3,0,NA,9999,0,0,1
128,"UKRN01","Full-time","Yes","Year 1",4,"Bsc Psychology","Female","UKRN",1,1,0,0,1,0,0,0,1,3,0,NA,9999,0,0,1
129,"UKRN01","Full-time","No","Year 1",3,"BSc Psychology","Female","UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,9999,1,0,1
130,"UKRN01","Full-time","Yes","Year 1",4,"BSc (Hons) Psychology","Male","UKRN",1,0,0,0,0,0,1,1,1,3,0,NA,9999,0,0,1
131,"UKRN01","Full-time","Yes","Year 1",4,"Psychology Bsc","Male","UKRN",1,1,1,1,1,0,1,0,1,6,0,NA,9999,0,0,1
132,"UKRN01","Full-time","Yes","Year 1",4,"Psychology ","Female","UKRN",1,1,1,0,1,1,1,1,1,7,1,0,0,1,0,1
