"applicability","applicability_Completed","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Awareness_Completed","Awareness_Score_Total","comments","Course_Duration","Course_Name","crisis_aware","crisis_aware_Completed","crisis_explain","crisis_explain_Completed","crisis_learnt","crisis_learnt_Completed","Current_Year","Duration_Seconds","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Experience_Completed","Experience_Score_Total","Finished","Full_Part","Gender","ID","include","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","Knowledge_Completed","Knowledge_Score_Mean","Knowledge_Score_Total","os_explain","os_explain_Completed","os_learnt","os_learnt_Completed","Perception_1","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_Completed","Perception_Score_Mean","Perception_Score_Total","Progress","PTY","PTY_Other","timepoint","UKRN","understanding_crisis","Uni"
1,1,1,0,1,1,0,1,0,1,1,5,"",3,"Psychology BSC",1,1,0,1,1,1,"Year 1",779,1,0,1,0,0,1,0,0,1,3,1,"Full-time","Female",1,1,2,1,1,0,0,0,1,0,1,0.625,5,1,1,1,1,1,1,1,1,2,1,1,-1,2,2,1,0,0,2,1,1,1,1,16,100,"Other (Please specify)","Optional",1,"UKRN","Lack of replicated studies being done and published in journals articles ","UKRN02"
1,1,0,0,1,1,0,0,1,1,1,4,"",4,"Psychology",1,1,1,1,1,1,"Year 1",787,0,0,1,0,0,0,0,0,1,1,1,"Full-time","Female",2,1,2,2,0,1,-1,0,2,1,1,0.875,7,0,1,1,1,2,0,1,2,2,2,1,-2,2,1,1,1,1,0,1,2,1,1.0625,17,100,"Yes","",1,"UKRN","The replication crisis is the idea that the results of many scientific studies cannot be reproduced because of problems/faults within the study. Therefore the findings are probably incorrect.","UKRN02"
1,1,1,0,0,1,1,0,0,1,1,4,"",3,"Psychology with Forensic Investigation ",1,1,0,1,1,1,"Year 1",295,0,0,0,0,0,0,0,0,1,0,1,"Full-time","Female ",4,1,2,0,-1,-2,-2,1,1,1,1,0,0,0,1,0,1,1,2,2,2,0,0,-2,-2,2,1,-1,1,1,1,0,0,1,0.5,8,100,"Yes","",1,"UKRN","Not enough studies are being replicated and therefore this lowers the validity of their findings ","UKRN02"
1,1,1,0,1,1,1,1,1,1,1,7,"",3,"BSc Psychology",1,1,1,1,1,1,"Year 1",1395,1,0,1,0,0,0,0,0,1,2,1,"Full-time","female",6,1,1,1,-1,-1,-1,0,1,1,1,0.125,1,1,1,1,1,2,-2,1,2,1,1,0,-2,2,-1,-1,-1,1,-1,-1,1,1,0.125,2,100,"No","",1,"UKRN","after doing replications of old studies, some researchers have found small significance levels and effect sizes than the original studies","UKRN02"
0,1,1,0,0,1,1,1,1,1,1,6,"",3,"Psychology",0,1,9999,0,NA,0,"Year 2",246,0,1,1,0,0,0,0,1,1,3,1,"Full-time","Female",7,1,1,1,1,-1,1,0,2,1,1,0.75,6,0,1,0,1,1,0,2,0,0,-2,1,0,0,2,0,2,1,0,2,0,1,0.5625,9,100,"No","",1,"UKRN","","UKRN02"
0,1,1,1,1,1,0,0,0,0,1,4,"",3,"Psycholigy",1,1,0,1,1,1,"Year 1",505,0,0,0,0,0,0,0,0,1,0,1,"Full-time","female",8,1,1,1,-1,-1,-1,1,1,1,1,0.25,2,0,1,0,1,1,1,1,2,0,1,0,-1,0,2,1,1,1,2,1,1,1,0.875,14,100,"Yes","",1,"UKRN","replication of journal articles already published but getting different results due to not follow the same procedure or changes in the times. some of the information it is considered less important","UKRN02"
1,1,0,0,1,0,0,1,1,1,1,4,"",3,"BSc Pyschology ",1,1,1,1,1,1,"Year 2",395,0,0,1,0,0,1,1,1,1,4,1,"Full-time","Female",9,1,-1,-1,-1,-2,1,1,2,1,1,0,0,0,1,0,1,1,-1,2,2,-1,1,-1,-1,1,0,-1,1,1,1,1,2,1,0.5,8,100,"Yes","",1,"UKRN","where studies are unable to be replicated due to issues such as poorly designed studies, errors","UKRN02"
1,1,0,0,1,0,0,1,1,1,1,4,"No",4,"BSc (Hons) Psychology",1,1,0,1,1,1,"Year 2",608,0,0,0,0,0,1,1,1,1,3,1,"Full-time","Female ",10,1,1,1,-1,-2,-1,1,1,1,1,0.125,1,0,1,0,1,2,-2,2,2,-1,-1,-2,-1,2,-2,-2,1,-1,2,-1,2,1,0,0,100,"Yes","",1,"UKRN","Studies that are impossible to replicate or reproduce ","UKRN02"
1,1,1,1,1,1,1,0,1,1,1,7,"",3,"BsC Psychology ",1,1,0,1,1,1,"Year 2",463,1,1,1,1,0,0,1,1,1,6,1,"Full-time","Female ",11,1,-1,-1,-1,-2,-2,1,1,2,1,-0.375,-3,0,1,1,1,1,-2,0,2,1,-1,1,-1,-2,2,-1,-1,-1,2,1,-1,1,0,0,100,"Yes","",1,"UKRN","Where replicating studies is hard to do because of costs and its a waste of time so few people do replica studies.","UKRN02"
1,1,0,0,1,0,0,1,1,1,1,4,"",4,"Psychology",1,1,0,1,1,1,"Year 2",304,0,0,1,0,0,1,1,0,1,3,1,"Full-time","Female ",14,1,2,1,1,0,-2,1,1,-1,1,0.375,3,0,1,0,1,0,-1,1,2,0,0,-1,-2,2,0,-2,1,0,1,-1,2,1,0.125,2,100,"Yes","",1,"UKRN","Many studies arenâ€™t replicable","UKRN02"
