StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q26,Q14,Q9,Q9_3_TEXT,Q15,Q16,Q8,Q17,Q11,Q12,Q13,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q28_11,Q28_12,Q28_13,Q28_14,Q28_15,Q28_16,Q18.1_1,Q18.1_2,Q18.1_3,Q18.1_4,Q18.1_5,Q18.1_6,Q18.1_7,Q18.1_8,Q18.2_1,Q18.2_2,Q18.2_3,Q18.2_4,Q18.2_5,Q18.2_6,Q18.2_7,Q18.2_8,Q22,Q23,Q31,Q32,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q48,Q47
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Have you read and understood the Information Sheet?,Do you agree to take part in the study?,,"If other, please name:",Is your course full-time or part-time?,Does your course include a placement year? - Selected Choice,Does your course include a placement year? - Other (Please specify) - Text,How many years is your course?,What year of study are you in?,How many years is your course?,What year of study are you in?,What is the name of your course?,Did you complete any psychology subjects in secondary school/college?,What is your gender?,"For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is important to repeat studies with a different sample of participants to see if you get the same results","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is a waste of time and money for researchers to repeat a successful study twice","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is important for researchers to share the code they have used to analyse the data in their study","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Researchers should keep all of the questionnaires and tasks that they use protected so that other researchers do not copy their work","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Researchers should make their teaching materials freely available for other researchers to use","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Researchers should not share their teaching materials because they belong to the university","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Everyone should have free access to journal articles","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is fair that journals charge people and universities a fee to access journal articles","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - After a study, it is important that data from the study are freely available and easy to understand, for anyone who wants to view it","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Researchers should keep all data from their studies protected, so only their research team can access them","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is important to decide how many participants you will test before starting a study","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - It is good research practice to keep testing participants until you find the result you are hoping for","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - Before they start to collect data, researchers should state their plans for the study in a time-stamped file online","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - After you have collected your data, it is important to try lots of different analyses and report those that produce interesting findings","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - You should report the results of your study online as soon as your study has been completed","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box - You shouldn’t report the results of a study online until a journal has reviewed them","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Open data","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Open materials/code","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Open access journals","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Study preregistration","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Print archiving/Preprints","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Open educational materials","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Power analysis","Please tick all of the following research practices you have heard of, and which of the following... - Q18#1 - Replication studies","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open data","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open materials/code","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open access journals","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Study preregistration","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Print archiving/Preprints","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open educational materials","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Power analysis","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Replication studies","In 2014, Ifrah published research claiming people who drink more caffeine sleep less. Jane is now researching the same question and copies Ifrah’s method exactly. She contacted Ifrah to get a copy of her original questionnaires but couldn’t get access to them.

 

Jane is right to replicate Ifrah’s study to see if her results are reliable","Ifrah was correct to not share all of the materials (e.g., questionnaires) she used","Samad was investigating if listening to classical music increases IQ.
Before he collected his data, he shared his hypothesis, method, analysis plan and
all the materials he was going to use online. He then went on to collect his
data and later published his results in a journal that was free for anyone to
access.

Samad
was correct to publish his work in a journal that anyone could freely access including
members of the public","It was not sensible for Samad to share details of his study before
collecting data","Sadia
completed a study showing that eating cabbage made people less happy. She wrote
a paper and made it available online, before it was reviewed by a journal. She also
put her raw data online (anonymised) and anyone could access it.
Sadia
should not have shared her paper until an academic journal had reviewed it","It
is ok for Sadia to make her data available online","Glen
is a researcher investigating the effect of eating sugar on how well people concentrate.
His initial results did not show a significant effect (no significant p-value).
He then added some more participants to the study. This time Glen’s results did
have a significant p-value. From his research, he developed a new lecture for undergraduates,
but would not share it with other lecturers. 

Glen
was correct to not decide on the number of participants before he started collecting
data for his study","Glen
should share his lecture slides with other lecturers","Have you heard or something called ""the replication / reproducibility crisis""?",Did you learn about “the replication / reproducibility crisis” on your course?,"What do you think “the replication /
reproducibility crisis” is?","Could you explain what ""Open Research"" is to
another student?","Do you learn about “Open Research” or “Open
Science” on your course?",Do you think the issues raised in this questionnaire are applicable to undergraduate students?,Any additional comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}",,"{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_3_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID8""}","{""ImportId"":""QID17""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_9""}","{""ImportId"":""QID28_10""}","{""ImportId"":""QID28_11""}","{""ImportId"":""QID28_12""}","{""ImportId"":""QID28_13""}","{""ImportId"":""QID28_14""}","{""ImportId"":""QID28_15""}","{""ImportId"":""QID28_16""}","{""ImportId"":""QID18#1_1""}","{""ImportId"":""QID18#1_2""}","{""ImportId"":""QID18#1_3""}","{""ImportId"":""QID18#1_4""}","{""ImportId"":""QID18#1_5""}","{""ImportId"":""QID18#1_6""}","{""ImportId"":""QID18#1_7""}","{""ImportId"":""QID18#1_8""}","{""ImportId"":""QID18#2_1""}","{""ImportId"":""QID18#2_2""}","{""ImportId"":""QID18#2_3""}","{""ImportId"":""QID18#2_4""}","{""ImportId"":""QID18#2_5""}","{""ImportId"":""QID18#2_6""}","{""ImportId"":""QID18#2_7""}","{""ImportId"":""QID18#2_8""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47_TEXT""}"
08/11/2019 04:22,08/11/2019 04:23,Survey Preview,100,38,TRUE,08/11/2019 04:23,R_ZyPpcLSzxJ4qiTT,preview,EN,Yes,Yes,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2019 07:36,19/11/2019 07:37,Survey Preview,100,88,TRUE,19/11/2019 07:37,R_A6yMug1h8URjRdL,preview,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2019 07:44,19/11/2019 07:45,Survey Preview,100,63,TRUE,19/11/2019 07:45,R_3k1gr3YoYmgvu7A,preview,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2019 07:55,19/11/2019 07:56,Survey Preview,100,44,TRUE,19/11/2019 07:56,R_2aUYIXBFDrymkP7,preview,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2019 08:22,19/11/2019 08:23,Survey Preview,100,57,TRUE,19/11/2019 08:23,R_Tbn8GL5KI25aCcx,preview,EN,Yes,Yes,UNI09,,Part-time,No,,,,5,3rd Year,,Yes,,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,,,,I have heard of this,,,,,,,,,I have done/used this,,,I have done/used this,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Have no opinion,Agree,Have no opinion,Agree,No,,,Not sure,No,,
25/11/2019 03:45,25/11/2019 03:47,Survey Preview,100,86,TRUE,25/11/2019 03:47,R_29cSPA2XYdkZ003,preview,EN,Yes,Yes,UKRN07,,Full-time,No,,2,2nd Year,,,,No,,Strongly agree,Agree,Have no opinion,Strongly disagree,Have no opinion,Have no opinion,Agree,Agree,Have no opinion,Have no opinion,Agree,Agree,Disagree,Have no opinion,Disagree,Have no opinion,,,,,,,,,,,,,,,,,Strongly Agree,Strongly disagree,Disagree,Agree,Have no opinion,Disagree,Agree,Have no opinion,No,,,Not sure,Not sure,,
25/11/2019 03:48,25/11/2019 03:50,Survey Preview,100,111,TRUE,25/11/2019 03:50,R_3DvwH4lCbmWdmi5,preview,EN,Yes,Yes,,,Full-time,No,,3,2nd Year,,,,No,,Disagree,Have no opinion,Agree,Have no opinion,Agree,Disagree,Have no opinion,Disagree,Have no opinion,Agree,Agree,Have no opinion,Disagree,Agree,Disagree,Disagree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Disagree,Strongly disagree,Have no opinion,Strongly disagree,Disagree,Strongly disagree,No,,,No,No,,
23/01/2020 02:44,23/01/2020 02:54,IP Address,100,599,TRUE,23/01/2020 02:54,R_QahX0jpQ4ZuVSJH,anonymous,EN,Yes,Yes,UKRN01,,Part-time,Yes,,,,6,4th Year,This is Katie,No,female,Agree,Have no opinion,Agree,Agree,Have no opinion,Agree,Agree,Have no opinion,Have no opinion,Have no opinion,Agree,Agree,Strongly agree,Have no opinion,Strongly agree,Agree,I have heard of this,,,,,,,,,I have done/used this,,,,,,,Strongly Agree,Agree,Disagree,Disagree,Have no opinion,Strongly disagree,Have no opinion,Disagree,Yes,No,This is Katie,Yes,Yes,No,Hi 
