"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
1,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology BSC","Yes","Female","UKRN",1,1,1,0,1,1,1,1,1,1,1,1,1
2,"UKRN02","Full-time","Yes","Year 1","4","Psychology","No","Female","UKRN",1,1,1,1,0,1,1,1,1,1,1,1,1
3,"UKRN02","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
4,"UKRN02","Full-time","Yes","Year 1","3","Psychology with Forensic Investigation ","Yes","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
5,"UKRN02","Full-time","Yes","Placement Year","3","Bsc Psychology","Yes","Female","UKRN",1,1,0,1,0,0,1,1,1,1,1,1,1
6,"UKRN02","Full-time","No","Year 1","3","BSc Psychology","Yes","female","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
7,"UKRN02","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
8,"UKRN02","Full-time","Yes","Year 1","3","Psycholigy","No","female","UKRN",1,1,1,0,0,0,0,1,1,1,1,1,1
9,"UKRN02","Full-time","Yes","Year 2","3","BSc Pyschology ","No","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
10,"UKRN02","Full-time","Yes","Year 2","4","BSc (Hons) Psychology","No","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
11,"UKRN02","Full-time","Yes","Year 2","3","BsC Psychology ","No","Female ","UKRN",1,1,1,0,0,1,1,1,1,1,1,1,1
12,"UKRN02","Full-time","Yes","Placement Year","3","Psychology ","Yes","Female ","UKRN",1,0,NA,NA,1,1,1,1,0,0,1,1,1
13,"UKRN02","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","UKRN",1,1,1,NA,0,0,0,1,1,0,1,1,1
14,"UKRN02","Full-time","Yes","Year 2","4","Psychology","Yes","Female ","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
15,"UKRN02","Full-time","Yes","Year 1","4","BPS Psychology ","Yes","Female ","UKRN",1,1,1,1,0,0,0,1,1,1,1,1,1
16,"UKRN02","Full-time","Yes","Year 2","3","Psychology ","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
17,"UKRN02","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
