"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"1",1,"UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology BSC","Yes","Female","UKRN",1,4,3,3,2,2,2,3,2,21,21,1,1,0,1,1,1
"2",2,"UKRN02","Full-time","Yes","Year 1","4","Psychology","No","Female","UKRN",1,4,4,2,3,1,2,4,3,23,23,1,1,1,0,1,1
"3",3,"UKRN02","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,1,3,0,0,0,0,3,3,10,10,1,1,0,0,0,1
"4",4,"UKRN02","Full-time","Yes","Year 1","3","Psychology with Forensic Investigation ","Yes","Female ","UKRN",1,4,2,1,0,0,3,3,3,16,16,1,1,0,0,0,1
"5",5,"UKRN02","Full-time","Yes","Placement Year","3","Bsc Psychology","Yes","Female","UKRN",1,4,3,3,3,1,3,3,2,22,22,1,0,1,0,0,1
"6",6,"UKRN02","Full-time","No","Year 1","3","BSc Psychology","Yes","female","UKRN",1,3,3,1,1,1,2,3,3,17,17,1,1,1,1,1,1
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"UKRN02","Full-time","Yes","Year 1","3","Psycholigy","No","female","UKRN",1,3,3,1,1,1,3,3,3,18,18,1,1,0,0,0,1
"9",9,"UKRN02","Full-time","Yes","Year 2","3","BSc Pyschology ","No","Female","UKRN",1,1,1,1,0,3,3,4,3,16,16,1,1,1,0,0,1
"10",10,"UKRN02","Full-time","Yes","Year 2","4","BSc (Hons) Psychology","No","Female ","UKRN",1,3,3,1,0,1,3,3,3,17,17,1,1,0,0,0,1
"11",11,"UKRN02","Full-time","Yes","Year 2","3","BsC Psychology ","No","Female ","UKRN",1,1,1,1,0,0,3,3,4,13,13,1,1,0,0,1,1
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"UKRN02","Full-time","Yes","Year 2","4","Psychology","Yes","Female ","UKRN",1,4,3,3,2,0,3,3,1,19,19,1,1,0,0,0,1
