"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","UKRN","timepoint","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
1,"100",779,"TRUE","UKRN02","Full-time","Other (Please specify)","Optional","3","Year 1","","","Psychology BSC","Yes","Female",1,2,2,1,0,0,2,1,1,1,1,1,2,1,1,-1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,2,1,1,0,0,0,1,0,1,1,"Lack of replicated studies being done and published in journals articles ",1,1,1,"",1,"UKRN",1,0,16,1,5,0.625,5,3,1,1,1,1,1,1,1,1,1,1
2,"100",787,"TRUE","UKRN02","Full-time","Yes","","4","Year 1","","","Psychology","No","Female",2,2,1,1,1,1,0,1,2,0,1,2,2,2,1,-2,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,1,-1,0,2,1,1,1,"The replication crisis is the idea that the results of many scientific studies cannot be reproduced because of problems/faults within the study. Therefore the findings are probably incorrect.",0,1,1,"",1,"UKRN",1,1,17,1.0625,7,0.875,4,1,1,1,1,1,1,1,1,1,1,1
3,"100",304,"TRUE","UKRN02","Full-time","Yes","","3","Placement Year","","","BSc Psychology","Yes","Female",2,-1,1,0,1,2,1,-1,1,-2,2,2,1,2,-2,-1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,-1,1,-2,-2,-2,-2,1,1,1,1,"People are copying too many studies exactly and getting the same results because they are not making small changes to their study methods. ",0,0,1,"",1,"UKRN",1,0,8,0.5,-6,-0.75,4,1,1,1,1,1,1,1,1,1,1,1
4,"100",295,"TRUE","UKRN02","Full-time","Yes","","3","Year 1","","","Psychology with Forensic Investigation ","Yes","Female ",1,2,1,-1,1,1,1,0,0,2,2,2,0,0,-2,-2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,-1,-2,-2,1,1,1,1,1,"Not enough studies are being replicated and therefore this lowers the validity of their findings ",0,0,1,"",1,"UKRN",1,0,8,0.5,0,0,4,0,1,1,1,1,1,1,1,1,1,1
5,"100",681,"TRUE","UKRN02","Full-time","Yes","","3","Placement Year","","","Bsc Psychology","Yes","Female",1,1,1,1,-1,-1,-1,1,0,-1,2,2,0,2,-1,-1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,2,1,1,1,-1,1,1,0,1,0,"Many studies in psychology aren’t actually replicable which means the findings cannot be generalised and internal validity is questionable",0,0,1,"",1,"UKRN",1,1,5,0.3125,6,0.75,6,2,1,1,1,1,1,1,1,1,1,1
6,"100",1395,"TRUE","UKRN02","Full-time","No","","3","Year 1","","","BSc Psychology","Yes","female",2,2,-1,-1,-1,1,-1,-1,1,-2,1,2,1,1,0,-2,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,-1,-1,-1,0,1,1,1,1,"after doing replications of old studies, some researchers have found small significance levels and effect sizes than the original studies",1,1,1,"",1,"UKRN",1,1,2,0.125,1,0.125,7,2,1,1,1,1,1,1,1,1,1,1
7,"100",246,"TRUE","UKRN02","Full-time","No","","3","Year 2","","","Psychology","Yes","Female",1,0,2,0,2,1,0,2,0,0,2,0,0,-2,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,-1,1,0,2,1,0,NA,"",0,0,0,"",1,"UKRN",1,9999,9,0.5625,6,0.75,6,3,1,1,1,1,1,0,1,1,1,0
8,"100",505,"TRUE","UKRN02","Full-time","Yes","","3","Year 1","","","Psycholigy","No","female",1,0,2,1,1,1,2,1,1,1,1,2,0,1,0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,1,1,1,1,1,"replication of journal articles already published but getting different results due to not follow the same procedure or changes in the times. some of the information it is considered less important",0,0,0,"",1,"UKRN",1,0,14,0.875,2,0.25,4,0,1,1,1,1,1,1,1,1,1,1
9,"100",395,"TRUE","UKRN02","Full-time","Yes","","3","Year 2","","","BSc Pyschology ","No","Female",1,1,0,-1,1,1,1,1,2,-1,2,2,-1,1,-1,-1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,-1,-1,-1,-2,1,1,2,1,1,1,"where studies are unable to be replicated due to issues such as poorly designed studies, errors",0,0,1,"",1,"UKRN",1,1,8,0.5,0,0,4,4,1,1,1,1,1,1,1,1,1,1
10,"100",608,"TRUE","UKRN02","Full-time","Yes","","4","Year 2","","","BSc (Hons) Psychology","No","Female ",2,2,-2,-2,1,-1,2,-1,2,-2,2,2,-1,-1,-2,-1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,-1,-2,-1,1,1,1,1,1,"Studies that are impossible to replicate or reproduce ",0,0,1,"No",1,"UKRN",1,0,0,0,1,0.125,4,3,1,1,1,1,1,1,1,1,1,1
11,"100",463,"TRUE","UKRN02","Full-time","Yes","","3","Year 2","","","BsC Psychology ","No","Female ",1,-2,2,-1,-1,-1,2,1,-1,-2,0,2,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,-2,-2,1,1,2,1,1,"Where replicating studies is hard to do because of costs and its a waste of time so few people do replica studies.",0,1,1,"",1,"UKRN",1,0,0,0,-3,-0.375,7,6,1,1,1,1,1,1,1,1,1,1
12,"100",300,"TRUE","UKRN02","Full-time","Yes","","3","Placement Year","","","Psychology ","Yes","Female ",2,1,2,2,1,1,2,2,1,1,2,2,1,1,-1,-1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,-1,1,1,1,-2,1,1,1,0,NA,"",1,1,1,"",1,"UKRN",1,9999,19,1.1875,3,0.375,7,5,1,1,1,1,1,0,1,1,1,0
13,"100",401,"TRUE","UKRN02","Full-time","Yes","","3","Placement Year","","","Psychology","Yes","Female",1,0,1,1,1,1,1,0,0,-2,0,2,1,1,-1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,0,1,1,1,"",0,0,0,"",1,"UKRN",1,9999,8,0.5,1,0.125,6,0,1,1,1,1,1,1,1,1,1,0
14,"100",304,"TRUE","UKRN02","Full-time","Yes","","4","Year 2","","","Psychology","Yes","Female ",0,2,0,-2,1,0,1,-1,2,-1,1,2,0,0,-1,-2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,2,1,1,0,-2,1,1,-1,1,1,"Many studies aren’t replicable",0,0,1,"",1,"UKRN",1,0,2,0.125,3,0.375,4,3,1,1,1,1,1,1,1,1,1,1
15,"100",546,"TRUE","UKRN02","Full-time","Yes","","4","Year 1","","","BPS Psychology ","Yes","Female ",-1,2,0,1,-1,1,-1,-1,0,-1,1,2,1,2,-1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-1,-1,1,0,1,1,1,"The belief that the findings of many pieces of research are not able to be replicated so may be incorrect",0,0,0,"",1,"UKRN",1,1,5,0.3125,2,0.25,5,0,1,1,1,1,1,1,1,1,1,1
16,"100",520,"TRUE","UKRN02","Full-time","Yes","","3","Year 2","","","Psychology ","Yes","Female",2,1,0,2,1,1,2,0,1,1,1,2,0,1,-1,-2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,1,-1,1,0,2,1,1,"Many notable studies produce non significant results when replicated by other researchers ",0,0,1,"",1,"UKRN",1,1,12,0.75,9,1.125,1,3,1,1,1,1,1,1,1,1,1,1
17,"100",388,"TRUE","UKRN02","Full-time","Yes","","4","Year 1","","","BSc Psychology","Yes","Female",2,2,0,1,0,1,1,-1,-1,1,0,2,1,-1,-2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,-1,0,0,0,2,1,1,"The lack of replication studies out there due to the unwillingness of journals to publish them has resulted in unreliable results being assumed as true",0,0,1,"",1,"UKRN",1,1,8,0.5,2,0.25,2,3,1,1,1,1,1,1,1,1,1,1
18,"100",2911,"TRUE","UKRN02","Full-time","Yes","","4","Year 1","","","Psychology","Yes","Female",2,2,1,-1,1,2,1,-1,-2,0,1,2,0,2,-1,-2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1,-1,-2,-2,2,2,1,1,"The lack of replication studies on research with significant findings. ",0,0,1,"",1,"UKRN",1,0,7,0.4375,3,0.375,4,1,1,1,1,1,1,1,1,1,1,1
19,"100",404,"TRUE","UKRN02","Full-time","Yes","","3","Year 1","","","BSc (Hons) Psychology","Yes","Female",2,1,1,1,2,2,2,1,2,2,1,2,1,1,-2,-2,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,2,-1,-1,1,1,1,1,1,"the idea that results of lots of scientific studies cannot be reproduced and are therefore likely to be wrong.",1,1,1,"Very relevant to undergraduates and something that needs to have more awareness especially when writing up assignments for the first time",1,"UKRN",1,1,17,1.0625,5,0.625,6,3,1,1,1,1,1,1,1,1,1,1
20,"100",602,"TRUE","UKRN02","Full-time","Yes","","3","Year 1","","","Psychology ","Yes","Male",2,2,1,-1,1,1,1,-1,1,-2,2,1,1,-2,-2,-2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,-1,-2,1,1,1,1,1,"Researchers not replicating studies as they’re not the most desired pieces of research by journals as they want original and interesting findings",0,1,1,"",1,"UKRN",1,1,3,0.1875,4,0.5,4,1,1,1,1,1,1,1,1,1,1,1
21,"100",13091,"TRUE","UNI01","Full-time","No","","3","Final Year","","","Psychology","Yes","Female",2,1,0,0,0,1,2,2,0,-1,-1,2,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,0,-1,-1,-1,2,0,NA,"",1,0,1,"No",1,"Non-UKRN",1,9999,8,0.5,1,0.125,1,0,1,1,1,1,1,0,1,1,1,0
22,"100",2229,"TRUE","UKRN02","Full-time","No","","3","Final Year","","","Psychology","Yes","Female",1,1,0,0,1,0,2,-1,0,-1,2,2,2,1,-1,-1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,-1,-1,1,0,1,0,NA,"",1,1,1,"",1,"UKRN",1,9999,8,0.5,3,0.375,6,3,1,1,1,1,1,0,1,1,1,0
23,"100",370,"TRUE","UKRN02","Full-time","Other (Please specify)","There’s an optional one you can decide to do nearer the time","3","Year 1","","","Psychology","Yes","Female",1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,-1,0,0,0,1,1,"It’s when studies aren’t being replicated to check their reliability because journals want ‘new, interesting findings’ and non significant results may not be seen as interesting",1,1,1,"",1,"UKRN",1,1,9,0.5625,4,0.5,5,0,1,1,1,1,1,1,1,1,1,1
