"","ID","Progress","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
"1",1,"100","UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology BSC","Yes","Female","UKRN",1,16,16,21,21,5,3,1,1,0,1,1,1,""
"2",2,"100","UKRN02","Full-time","Yes","Year 1","4","Psychology","No","Female","UKRN",1,17,17,23,23,4,1,1,1,1,0,1,1,""
"3",3,"100","UKRN02","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,8,8,10,10,4,1,1,1,0,0,0,1,""
"4",4,"100","UKRN02","Full-time","Yes","Year 1","3","Psychology with Forensic Investigation ","Yes","Female ","UKRN",1,8,8,16,16,4,0,1,1,0,0,0,1,""
"5",5,"100","UKRN02","Full-time","Yes","Placement Year","3","Bsc Psychology","Yes","Female","UKRN",1,5,5,22,22,6,2,1,0,1,0,0,1,""
"6",6,"100","UKRN02","Full-time","No","Year 1","3","BSc Psychology","Yes","female","UKRN",1,2,2,17,17,7,2,1,1,1,1,1,1,""
"7",7,"100","UKRN02","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,9,9,22,22,6,3,0,NA,9999,0,0,0,""
"8",8,"100","UKRN02","Full-time","Yes","Year 1","3","Psycholigy","No","female","UKRN",1,14,14,18,18,4,0,1,1,0,0,0,0,""
"9",9,"100","UKRN02","Full-time","Yes","Year 2","3","BSc Pyschology ","No","Female","UKRN",1,8,8,16,16,4,4,1,1,1,0,0,1,""
"10",10,"100","UKRN02","Full-time","Yes","Year 2","4","BSc (Hons) Psychology","No","Female ","UKRN",1,0,0,17,17,4,3,1,1,0,0,0,1,"No"
"11",11,"100","UKRN02","Full-time","Yes","Year 2","3","BsC Psychology ","No","Female ","UKRN",1,0,0,13,13,7,6,1,1,0,0,1,1,""
"12",12,"100","UKRN02","Full-time","Yes","Placement Year","3","Psychology ","Yes","Female ","UKRN",1,19,19,19,19,7,5,0,NA,9999,1,1,1,""
"13",13,"100","UKRN02","Full-time","Yes","Placement Year","3","Psychology","Yes","Female","UKRN",1,8,8,17,17,6,0,1,1,9999,0,0,0,""
"14",14,"100","UKRN02","Full-time","Yes","Year 2","4","Psychology","Yes","Female ","UKRN",1,2,2,19,19,4,3,1,1,0,0,0,1,""
"15",15,"100","UKRN02","Full-time","Yes","Year 1","4","BPS Psychology ","Yes","Female ","UKRN",1,5,5,18,18,5,0,1,1,1,0,0,0,""
"16",16,"100","UKRN02","Full-time","Yes","Year 2","3","Psychology ","Yes","Female","UKRN",1,12,12,25,25,1,3,1,1,1,0,0,1,""
"17",17,"100","UKRN02","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,8,8,18,18,2,3,1,1,1,0,0,1,""
"18",18,"100","UKRN02","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,7,7,19,19,4,1,1,1,0,0,0,1,""
"19",19,"100","UKRN02","Full-time","Yes","Year 1","3","BSc (Hons) Psychology","Yes","Female","UKRN",1,17,17,21,21,6,3,1,1,1,1,1,1,"Very relevant to undergraduates and something that needs to have more awareness especially when writing up assignments for the first time"
"20",20,"100","UKRN02","Full-time","Yes","Year 1","3","Psychology ","Yes","Male","UKRN",1,3,3,20,20,4,1,1,1,1,0,1,1,""
"21",21,"100","UNI01","Full-time","No","Final Year","3","Psychology","Yes","Female","Non-UKRN",1,8,8,17,17,1,0,0,NA,9999,1,0,1,"No"
"22",22,"100","UKRN02","Full-time","No","Final Year","3","Psychology","Yes","Female","UKRN",1,8,8,19,19,6,3,0,NA,9999,1,1,1,""
"23",23,"100","UKRN02","Full-time","Other (Please specify)","Year 1","3","Psychology","Yes","Female","UKRN",1,9,9,20,20,5,0,1,1,1,1,1,1,""
"24",24,"100","UNI02","Full-time","No","Year 2","3","BSc Psychology Hons","No","N/A","Non-UKRN",1,17,17,23,23,6,2,1,1,1,0,0,1,""
"25",25,"100","UNI02","Full-time","No","Year 2","3","Single honours Psychology ","Yes","Female","Non-UKRN",1,11,11,20,20,2,1,1,1,1,0,0,1,""
"26",27,"100","UNI02","Full-time","No","Final Year","3","Psychology ","No","Female ","Non-UKRN",1,6,6,17,17,8,0,1,0,0,0,0,1,""
"27",28,"100","UNI02","Full-time","No","Year 2","3","Psychology","Yes","Female ","Non-UKRN",1,3,3,19,19,8,0,1,1,1,0,1,1,""
"28",29,"100","UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,19,19,25,25,4,0,1,1,1,0,0,1,""
"29",30,"100","UNI02","Full-time","No","Final Year","3","Psychology ","Yes","Female ","Non-UKRN",1,5,5,20,20,5,2,1,0,0,1,0,1,""
"30",31,"100","UNI02","Full-time","No","Year 1","3","Psychology with counselling ","Yes","Female","Non-UKRN",1,5,5,16,16,6,1,1,0,0,0,1,1,""
"31",32,"100","UNI02","Full-time","No","Final Year","3","Bsc(hons) psychology ","Yes","Female ","Non-UKRN",1,3,3,23,23,8,0,1,1,0,0,0,1,""
"32",33,"100","UNI01","Full-time","No","Year 2","3","BSc (Hons) Psychology with Criminology","Yes","Female","Non-UKRN",1,9,9,18,18,4,0,1,0,0,0,0,1,""
"33",34,"100","UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female","Non-UKRN",1,21,21,27,27,3,1,1,1,1,1,1,1,""
"34",35,"100","UNI01","Full-time","No","Final Year","3","Psychology with Criminology","No","Female","Non-UKRN",1,14,14,22,22,6,6,1,1,0,1,1,1,""
"35",36,"100","UNI02","Full-time","Yes","Year 2","3","Psychology","No","Female","Non-UKRN",1,6,6,15,15,2,6,1,1,0,0,0,1,""
"36",37,"100","UNI02","Full-time","No","Year 2","3","Bsc (Hons) Psychology","No","Female","Non-UKRN",1,-3,-3,13,13,1,7,1,1,0,0,0,0,"No"
"37",38,"100","UNI02","Full-time","Yes","Year 2","4","Forensic psychology ","No","Female ","Non-UKRN",1,9,9,16,16,6,2,1,1,0,1,1,1,"Some questions we are aware of  in second year but not all"
"38",39,"100","UNI01","Full-time","No","Year 1","3","Psychology BSc (Hons)","Yes","Female","Non-UKRN",1,8,8,15,15,0,2,0,NA,9999,0,0,1,""
"39",40,"100","UNI01","Full-time","No","Year 1","3","Bsc Psychology (Hons)","Yes","Female","Non-UKRN",1,2,2,13,13,7,0,1,1,1,0,0,1,""
"40",41,"100","UNI02","Full-time","No","Year 2","3","Psychology with clinical skills","No","Female ","Non-UKRN",1,9,9,16,16,3,0,1,0,1,0,0,1,"No"
"41",42,"100","UNI01","Full-time","Yes","Year 1","3","Psychology BSc","Yes","Male","Non-UKRN",1,5,5,17,17,4,2,0,NA,9999,0,0,1,"None."
"42",44,"100","UNI01","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,12,12,20,20,3,2,1,1,1,0,0,1,""
"43",45,"100","UKRN07","Full-time","No","Final Year","3","Psychology Bsc","No","Female","UKRN",1,5,5,22,22,4,3,0,NA,9999,0,0,1,""
"44",46,"100","UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Female","UKRN",1,15,15,26,26,7,1,1,1,1,1,0,1,""
"45",47,"51","UKRN02","Full-time","Yes","Placement Year","3","psychology","Yes","Female","UKRN",1,14,14,NA,NA,1,0,NA,NA,9999,NA,NA,NA,""
"46",48,"100","UKRN07","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","UKRN",1,9,9,21,21,3,1,1,1,1,0,0,1,""
"47",49,"100","UKRN07","Full-time","Yes","Final Year","4","Psychology with Professional Placement","Yes","Male","UKRN",1,19,19,27,27,7,4,1,1,1,0,0,1,""
"48",50,"100","UNI01","Full-time","No","Year 2","3","Psychology with Criminology","No","Female","Non-UKRN",1,14,14,21,21,6,1,0,NA,9999,1,1,1,""
"49",51,"100","UKRN07","Full-time","No","Final Year","3","Psychology with Neuroscience","Yes","Female","UKRN",1,11,11,25,25,5,2,1,1,1,1,1,1,""
"50",52,"46","UNI02","Full-time","No","Year 1","3","Psychology with clinical skills","Yes","female","Non-UKRN",1,NA,NA,NA,NA,0,0,NA,NA,9999,NA,NA,NA,""
"51",53,"100","UNI04","Full-time","No","Year 2","3","BSc Psychology","Yes","Female","Non-UKRN",1,9,9,19,19,4,4,0,NA,9999,1,0,1,""
"52",54,"100","UNI04","Full-time","Other (Please specify)","Final Year","4","Psychology (with a Year Abroad)","No","Female","Non-UKRN",1,13,13,21,21,5,2,1,1,0,0,0,1,""
"53",55,"100","UNI04","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,2,2,15,15,2,1,1,1,1,0,0,1,""
"54",56,"100","UKRN07","Full-time","No","Final Year","3","BSc Psychology (Hons) ","Yes","Female ","UKRN",1,9,9,19,19,7,1,1,1,1,1,1,1,"no "
"55",57,"100","UNI04","Full-time","Yes","Year 2","4","BSc Psychology with Placement Year","No","Male","Non-UKRN",1,9,9,24,24,4,3,1,1,0,0,0,1,"The question asking whether raw data may be published online was answered ""Agree"": but this is only the case if the data is anonymous. I believe while misinformation may be a problem with ""publishing"" (i.e. simply posting online) un-replicated studies/peer-reviewed studies- it is unrealistic to say that in practice this can be halted, and rather the public must be informed about misinformation and the reliability of online sources. "
"56",58,"100","UKRN02","Full-time","Yes","Year 1","4","Psychology with counselling","Yes","Female","UKRN",1,5,5,11,11,3,5,1,0,1,0,1,0,""
"57",59,"100","UNI04","Full-time","Yes","Year 2","4","Cognitive psychology with placement year","Yes","Female","Non-UKRN",1,6,6,14,14,2,1,0,NA,9999,0,0,1,""
"58",60,"100","UNI11","Full-time","No","Final Year","3","Psychology and child development ","Yes","Female","Non-UKRN",1,17,17,21,21,1,5,1,1,0,0,0,1,""
"59",61,"100","UNI11","Full-time","No","Final Year","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,15,15,18,18,6,2,1,1,1,0,0,1,""
"60",62,"100","UNI11","Full-time","No","Final Year","3","Psychology and child development ","No","Female","Non-UKRN",1,10,10,14,14,4,1,0,NA,9999,0,0,0,""
"61",63,"100","UNI11","Full-time","No","Year 2","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,7,7,19,19,6,1,0,NA,9999,1,0,0,""
