ID,crisis_explain
1,0
2,1
3,0
4,0
5,1
6,1
7,9999
8,0
9,1
10,0
11,0
12,9999
13,9999
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,9999
22,9999
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,9999
40,1
41,1
42,9999
43,0
44,1
45,9999
46,1
47,9999
48,1
49,1
50,9999
51,1
52,9999
53,9999
54,0
55,1
56,1
57,0
58,1
59,9999
60,0
61,1
62,9999
63,9999
64,1
65,0
66,9999
67,9999
68,1
69,9999
70,1
71,9999
72,1
73,9999
74,1
75,0
76,0
77,9999
78,9999
79,1
80,0
81,9999
82,9999
83,9999
84,0
85,1
86,9999
87,0
88,9999
89,9999
90,0
91,9999
92,9999
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,9999
103,9999
104,0
105,9999
106,9999
107,1
108,1
109,9999
110,1
111,9999
112,1
113,9999
114,9999
115,1
116,9999
117,9999
118,1
119,9999
120,9999
121,1
122,1
123,0
124,1
125,1
126,9999
127,9999
128,9999
129,9999
130,9999
131,9999
132,0
133,1
134,9999
135,9999
136,1
137,9999
138,1
139,9999
140,0
141,9999
142,9999
143,9999
144,0
145,9999
146,0
147,9999
148,0
149,1
150,9999
151,9999
152,1
153,9999
154,1
155,1
156,0
157,0
158,0
159,9999
160,1
161,1
162,9999
163,1
164,1
165,1
166,9999
167,9999
168,1
169,9999
170,9999
171,1
172,1
173,9999
174,1
175,1
176,1
177,1
178,0
179,1
180,9999
181,0
182,1
183,0
184,1
185,1
186,0
187,1
188,0
189,9999
190,9999
191,9999
192,1
193,1
194,9999
195,0
196,1
197,9999
198,9999
199,1
200,9999
201,1
202,9999
203,0
204,9999
205,0
206,9999
207,9999
208,1
209,1
210,9999
211,1
212,9999
213,9999
214,9999
215,9999
216,9999
217,9999
218,1
219,0
220,0
221,1
222,1
223,9999
224,9999
225,9999
226,9999
227,9999
228,9999
229,9999
230,1
231,9999
232,9999
233,1
234,0
235,9999
236,0
237,9999
238,1
239,1
240,9999
241,9999
242,0
243,1
244,1
245,9999
246,9999
247,0
248,9999
249,1
250,0
251,1
252,9999
253,9999
254,9999
255,9999
256,9999
257,9999
258,1
259,1
260,1
261,0
262,0
263,9999
264,9999
265,9999
266,0
267,1
268,1
269,9999
270,9999
271,9999
272,9999
273,9999
274,1
275,9999
276,9999
277,9999
278,1
279,9999
280,9999
281,9999
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,1
290,9999
291,1
292,9999
293,0
294,1
295,0
296,1
297,9999
298,9999
299,1
300,1
301,1
302,1
303,0
304,9999
305,1
306,9999
307,9999
308,9999
309,9999
310,9999
311,9999
312,9999
313,9999
314,9999
315,0
316,9999
317,1
318,1
319,1
320,1
321,9999
322,9999
323,0
324,0
325,9999
326,9999
327,1
328,1
329,9999
330,9999
331,1
332,0
333,9999
334,9999
335,9999
336,9999
337,9999
338,9999
339,0
340,9999
341,1
342,9999
343,9999
344,1
345,1
346,1
347,1
348,9999
349,0
350,1
351,9999
352,1
353,9999
354,9999
355,1
356,9999
357,9999
358,1
359,1
360,1
361,9999
362,9999
363,0
364,0
365,1
366,9999
367,9999
368,9999
369,1
370,1
371,1
372,0
373,0
374,9999
375,9999
376,9999
377,1
