"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
192,"UKRN01","Full-time","Yes","Final Year","4","Psychology","female","21","UKRN",2,1,0,NA,0,0,1,1,1,1,1,1,1
613,"UNI19","Full-time","No","Year 1","3","Psychology ","Female ","19","Non-UKRN",2,0,NA,NA,1,1,1,1,0,1,1,1,1
540,"UNI06","Full-time","Yes","Year 1","4","Psychology ","Female","19","Non-UKRN",2,0,NA,NA,0,0,1,1,0,1,1,1,1
348,"UNI74","Full-time","No","Year 1","2","Psychology BSc","Female","18","Non-UKRN",2,1,0,0,1,0,1,1,1,1,1,1,1
723,"UKRN01","Full-time","Yes","Year 2","3","Psychology counselling and mental health","Female","37","UKRN",2,1,NA,NA,NA,NA,NA,1,0,1,0,0,0
277,"UKRN01","Full-time","Yes","Year 2","4","psychology ","female ","19","UKRN",2,1,1,0,0,0,1,1,1,1,1,1,1
247,"UNI73","Full-time","No","Year 2","3","BSc Psychology","Female","19","Non-UKRN",2,1,1,0,1,0,1,1,1,1,1,1,1
237,"UNI06","Full-time","Yes","Year 2","4","psychology","female","20","Non-UKRN",2,0,NA,NA,0,1,0,1,0,1,1,1,1
624,"UNI06","Full-time","No","Year 1","3","Psychology ","Female","19","Non-UKRN",2,0,NA,NA,0,1,0,1,0,1,1,1,1
112,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Female","21","UKRN",2,1,0,1,1,0,1,1,1,1,1,1,1
640,"UNI79","Full-time","No","Year 1","3","Psychology BS","Male","20","Non-UKRN",2,0,NA,NA,1,0,1,1,0,1,1,1,1
559,"UNI06","Full-time","Yes","Year 1","4","Psychology and Marketing ","Male","19","Non-UKRN",2,1,0,0,1,0,1,1,1,1,1,1,1
586,"UNI06","Full-time","Yes","Year 2","4","Bsc Psychology","Female","20","Non-UKRN",2,0,NA,NA,0,0,1,1,0,1,1,1,1
248,"UNI73","Full-time","No","Final Year","3","Psychology BSc","female","20","Non-UKRN",2,1,1,1,1,1,1,1,1,1,1,1,1
212,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Female","20","UKRN",2,0,NA,NA,1,0,1,1,0,1,1,1,1
210,"UNI09","Full-time","No","Final Year","3","Psychology","Male","21","Non-UKRN",2,0,NA,NA,0,0,1,1,0,1,1,1,1
78,"UKRN08","Full-time","No","Year 2","3","Psychology","Female","20","UKRN",2,1,1,1,0,0,1,1,1,1,1,1,1
388,"UNI58","Full-time","No","Year 1","4","Psychology Bsc. (Hons) with Study Abroad Year","Female","19","Non-UKRN",2,1,0,1,0,0,1,1,1,1,1,1,1
85,"UKRN01","Full-time","No","Year 2","3","Psychology","Female","20","UKRN",2,1,1,1,0,0,1,1,1,1,1,1,1
421,"UNI50","Full-time","No","Year 1","3","Psychology","Female","18","Non-UKRN",2,1,1,0,0,0,0,1,1,1,1,1,1
688,"UNI11","Full-time","No","Final Year","3","Psychology","Female","21","Non-UKRN",2,0,NA,NA,0,0,1,1,0,1,1,1,1
342,"UKRN04","Full-time","No","Final Year","3","BSc Psychology ","Female ","21","UKRN",2,1,1,0,0,0,1,1,1,1,1,1,1
239,"UNI73","Full-time","No","Year 1","3","BSc Psychology","Female ","19","Non-UKRN",2,1,1,1,0,0,1,1,1,1,1,1,1
347,"UNI08","Full-time","No","Year 1","3","BSc Psychology","Female","19","Non-UKRN",2,1,0,0,0,0,1,1,1,1,1,1,1
241,"UNI73","Full-time","No","Year 2","4","Psychology","Female","22","Non-UKRN",2,1,1,0,0,0,1,1,1,1,1,1,1
