"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Experience_Completed"
192,"UKRN01","Full-time","Yes","Final Year","4","Psychology","female","21","UKRN",2,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,1
613,"UNI19","Full-time","No","Year 1","3","Psychology ","Female ","19","Non-UKRN",2,0,0,1,0,0,0,0,1,2,0,NA,NA,1,1,1
540,"UNI06","Full-time","Yes","Year 1","4","Psychology ","Female","19","Non-UKRN",2,0,0,0,1,1,1,0,1,4,0,NA,NA,0,0,1
348,"UNI74","Full-time","No","Year 1","2","Psychology BSc","Female","18","Non-UKRN",2,0,0,1,0,0,1,1,1,4,1,0,0,1,0,1
723,"UKRN01","Full-time","Yes","Year 2","3","Psychology counselling and mental health","Female","37","UKRN",2,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1
277,"UKRN01","Full-time","Yes","Year 2","4","psychology ","female ","19","UKRN",2,0,1,0,1,1,1,0,0,4,1,1,0,0,0,1
247,"UNI73","Full-time","No","Year 2","3","BSc Psychology","Female","19","Non-UKRN",2,1,0,1,0,0,0,0,1,3,1,1,0,1,0,1
237,"UNI06","Full-time","Yes","Year 2","4","psychology","female","20","Non-UKRN",2,0,0,0,0,1,0,0,1,2,0,NA,NA,0,1,1
624,"UNI06","Full-time","No","Year 1","3","Psychology ","Female","19","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1,1
112,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","Female","21","UKRN",2,1,0,1,0,1,1,0,0,4,1,0,1,1,0,1
640,"UNI79","Full-time","No","Year 1","3","Psychology BS","Male","20","Non-UKRN",2,0,0,1,0,0,1,0,0,2,0,NA,NA,1,0,1
559,"UNI06","Full-time","Yes","Year 1","4","Psychology and Marketing ","Male","19","Non-UKRN",2,1,0,1,1,0,0,0,0,3,1,0,0,1,0,1
586,"UNI06","Full-time","Yes","Year 2","4","Bsc Psychology","Female","20","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1
248,"UNI73","Full-time","No","Final Year","3","Psychology BSc","female","20","Non-UKRN",2,0,0,0,1,1,0,1,1,4,1,1,1,1,1,1
212,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Female","20","UKRN",2,0,0,1,0,0,1,0,1,3,0,NA,NA,1,0,1
210,"UNI09","Full-time","No","Final Year","3","Psychology","Male","21","Non-UKRN",2,0,0,0,1,0,0,0,0,1,0,NA,NA,0,0,1
78,"UKRN08","Full-time","No","Year 2","3","Psychology","Female","20","UKRN",2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
388,"UNI58","Full-time","No","Year 1","4","Psychology Bsc. (Hons) with Study Abroad Year","Female","19","Non-UKRN",2,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1
85,"UKRN01","Full-time","No","Year 2","3","Psychology","Female","20","UKRN",2,0,0,1,0,0,1,1,0,3,1,1,1,0,0,1
421,"UNI50","Full-time","No","Year 1","3","Psychology","Female","18","Non-UKRN",2,1,1,1,1,0,1,0,0,5,1,1,0,0,0,1
688,"UNI11","Full-time","No","Final Year","3","Psychology","Female","21","Non-UKRN",2,0,0,1,0,0,1,1,1,4,0,NA,NA,0,0,1
342,"UKRN04","Full-time","No","Final Year","3","BSc Psychology ","Female ","21","UKRN",2,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1
239,"UNI73","Full-time","No","Year 1","3","BSc Psychology","Female ","19","Non-UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
347,"UNI08","Full-time","No","Year 1","3","BSc Psychology","Female","19","Non-UKRN",2,0,0,1,1,0,0,0,1,3,1,0,0,0,0,1
241,"UNI73","Full-time","No","Year 2","4","Psychology","Female","22","Non-UKRN",2,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1
242,"UNI73","Full-time","No","Year 1","3","Psychology","Gender fluid","22","Non-UKRN",2,0,0,1,0,0,1,0,1,3,0,NA,NA,0,0,1
258,"UNI73","Full-time","No","Final Year","3","BSc Criminology & Psychology","Female","20","Non-UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
544,"UNI06","Full-time","Yes","Year 2","4","Psychology","Female","20","Non-UKRN",2,0,0,1,0,0,0,0,1,2,0,NA,NA,0,0,1
459,"UNI10","Full-time","No","Year 2","3","Psychology","Female","21","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1
226,"UNI06","Full-time","Yes","Year 1","4","Psychology & Business","Female","18","Non-UKRN",2,1,1,1,0,0,0,0,0,3,0,NA,NA,1,0,1
32,"UKRN01","Full-time","Yes","Final Year","4","Psychology","Cis female","22","UKRN",2,0,1,1,0,0,0,1,0,3,1,1,1,1,1,1
18,"UKRN08","Full-time","No","Year 2","3","psychology with criminology","female","20","UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
374,"UNI10","Full-time","Yes","Year 1","3","BSc in Psychology ","Female ","18","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1
123,"UKRN01","Full-time","No","Year 2","3","PSYchology","male","19","UKRN",2,0,1,1,1,0,0,0,0,3,1,0,0,0,0,1
468,"UKRN01","Full-time","Yes","Year 2","3","Bsc Psychology","female","24","UKRN",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
525,"UNI06","Full-time","Yes","Year 1","4","Psychology and Business Management","Male","18","Non-UKRN",2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
414,"UNI19","Full-time","Other (Please specify)","Year 1","3","BSc Psychology","Female","18","Non-UKRN",2,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
552,"UNI06","Full-time","Yes","Year 1","4","psychology","female","20","Non-UKRN",2,0,0,1,0,0,1,0,0,2,1,1,0,0,1,1
560,"UNI06","Full-time","Yes","Year 1","4","Psychology ","Male","21","Non-UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
42,"UKRN08","Full-time","No","Year 2","3","BSC Hons Psychology ","Female","21","UKRN",2,0,1,0,0,1,0,1,0,3,1,1,0,0,1,1
338,"UNI10","Full-time","No","Final Year","3","Psychology","Female ","22","Non-UKRN",2,0,0,0,0,0,0,0,1,1,0,NA,NA,0,0,1
24,"UKRN08","Full-time","Yes","Year 2","3","Psychology","Female ","20","UKRN",2,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1
205,"UKRN08","Full-time","No","Year 2","3","BSC Honors Psychology","Female","22","UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
315,"UKRN01","Full-time","Yes","Year 1","4","Psychology ","Female","19","UKRN",2,0,0,1,0,0,1,0,1,3,0,NA,NA,0,0,1
45,"UKRN08","Full-time","No","Year 2","3","Psychology Bsc(Hons)","Male","22","UKRN",2,1,1,1,0,0,0,0,1,4,1,1,1,1,0,1
527,"UNI06","Full-time","Yes","Year 2","4","psychology","female","19","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,1,0,1
604,"UNI19","Full-time","No","Year 1","3","Paychology","female ","20","Non-UKRN",2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
489,"UNI75","Full-time","Yes","Placement Year","3","BSc Psychology","Male","41","Non-UKRN",2,0,0,1,0,0,0,0,0,1,0,NA,NA,0,0,1
26,"UKRN08","Full-time","Yes","Year 1","4","Psychology","Female","20","UKRN",2,0,0,1,1,1,1,0,1,5,1,1,1,1,1,1
314,"UNI08","Full-time","No","Year 1","3","Psychology","Female","18","Non-UKRN",2,0,0,1,1,0,0,0,1,3,1,0,0,0,1,1
521,"UNI06","Full-time","Other (Please specify)","Year 2","3","Psychology","Male","21","Non-UKRN",2,0,0,1,0,0,1,0,1,3,0,NA,NA,0,0,1
386,"UNI10","Full-time","Yes","Year 2","4","English Literature And Psychology ","Male","20","Non-UKRN",2,1,1,0,1,1,0,1,0,5,1,0,0,0,0,1
357,"UNI74","Full-time","No","Year 2","2","Psychology with Spanish","Female","20","Non-UKRN",2,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1
705,"UNI06","Full-time","Yes","Year 1","4","Psychology","female","20","Non-UKRN",2,0,1,1,1,1,1,1,1,7,0,NA,NA,0,0,1
376,"UNI10","Full-time","Yes","Year 1","3","Criminology and Psychology ","Female ","19","Non-UKRN",2,0,0,1,0,0,1,0,0,2,0,NA,NA,1,0,1
333,"UNI10","Full-time","No","Final Year","3","PSYCHOLOGY BSc (Hons)","Female","21","Non-UKRN",2,0,0,1,1,0,0,1,1,4,1,0,0,0,0,1
611,"UNI06","Full-time","Yes","Year 1","4","Psychology","Female","19","Non-UKRN",2,0,0,0,1,0,0,1,0,2,0,NA,NA,0,0,1
66,"UKRN08","Full-time","No","Year 1","3","Psychology","Female","23","UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
168,"UKRN08","Full-time","Other (Please specify)","Year 2","3","psychology with criminology","male","20","UKRN",2,0,0,1,1,0,1,1,1,5,1,1,1,0,0,1
139,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Female","21","UKRN",2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
310,"UNI50","Full-time","No","Year 1","3","Psychology ","Female","18","Non-UKRN",2,0,0,1,0,0,1,0,1,3,0,NA,NA,0,0,1
511,"UNI06","Full-time","Yes","Year 2","4","Psychology & Marketing","F","19","Non-UKRN",2,0,1,0,0,0,0,0,0,1,0,NA,NA,1,1,1
282,"UNI50","Full-time","No","Year 1","3","Psychology with Forensic Psychology","Male","19","Non-UKRN",2,0,0,1,0,0,1,0,0,2,0,NA,NA,0,0,1
57,"UKRN08","Full-time","No","Year 1","4","Psychology","Male","21","UKRN",2,0,1,0,1,1,0,1,0,4,0,NA,NA,0,0,1
337,"UNI72","Full-time","No","Year 2","3","Psychology","Female","21","Non-UKRN",2,0,0,1,0,0,0,1,1,3,1,0,0,0,1,1
403,"UNI73","Full-time","No","Year 2","3","Psychology ","Female ","20","Non-UKRN",2,0,0,1,0,1,0,0,1,3,1,0,0,0,0,1
278,"UNI06","Full-time","Yes","Year 1","4","Psychology (BSc)","Female ","19","Non-UKRN",2,0,0,1,0,0,1,0,1,3,1,0,0,1,1,1
