"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
192,"100","UKRN01","Yes","Final Year","4","Psychology","female","21","UKRN",2,2,1,1,-1,2,1,1,1,2,1,1,-1,1,-1,-1,-1,2,1,2,-1,-1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0.5625,6,0.75,4,0,1,0,NA,0,0,1,""
613,"100","UNI19","No","Year 1","3","Psychology ","Female ","19","Non-UKRN",2,2,2,0,-2,0,1,0,-1,0,-2,1,2,1,-2,-1,-2,1,2,1,-1,-1,-1,0,-1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,-1,-0.0625,0,0,6,2,0,NA,NA,1,1,1,""
540,"100","UNI06","Yes","Year 1","4","Psychology ","Female","19","Non-UKRN",2,2,1,0,-1,1,1,1,1,1,-1,1,-1,1,-1,1,0,-1,-1,1,0,-1,-1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,7,0.4375,-2,-0.25,4,4,0,NA,NA,0,0,1,""
348,"100","UNI74","No","Year 1","2","Psychology BSc","Female","18","Non-UKRN",2,1,1,0,0,0,1,1,0,1,0,-1,2,2,-1,0,1,2,1,1,-1,-1,0,-1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,8,0.5,2,0.25,4,4,1,0,0,1,0,1,""
723,"71","UKRN01","Yes","Year 2","3","Psychology counselling and mental health","Female","37","UKRN",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,NA,NA,NA,NA,NA,""
277,"100","UKRN01","Yes","Year 2","4","psychology ","female ","19","UKRN",2,0,0,1,2,-1,1,-1,-1,1,0,1,1,1,-1,-1,-1,1,1,1,0,-1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0.125,4,0.5,4,4,1,1,0,0,0,1,""
247,"100","UNI73","No","Year 2","3","BSc Psychology","Female","19","Non-UKRN",2,1,2,1,1,1,1,2,-1,1,1,1,-1,0,1,-1,-1,2,1,-1,-1,0,1,-1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,9,0.5625,2,0.25,5,3,1,1,0,1,0,1,""
237,"100","UNI06","Yes","Year 2","4","psychology","female","20","Non-UKRN",2,0,0,1,0,1,-1,-1,0,0,1,0,1,0,-1,1,0,0,0,1,1,-2,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,2,0.125,0,0,6,2,0,NA,NA,0,1,0,""
624,"100","UNI06","No","Year 1","3","Psychology ","Female","19","Non-UKRN",2,2,2,0,0,2,1,2,0,2,1,0,-1,0,0,0,-1,1,1,2,0,-1,-1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10,0.625,3,0.375,8,0,0,NA,NA,0,1,0,""
112,"100","UKRN01","Yes","Placement Year","4","BSc Psychology","Female","21","UKRN",2,2,1,2,1,2,2,2,2,2,1,2,1,2,1,-1,-1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,21,1.3125,12,1.5,8,4,1,0,1,1,0,1,""
