"Participant_ID","Progress","Duration_Seconds","Finished","Age","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Name","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","exclude","UKRN","timepoint","ID","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
"020304ms","100",366,"TRUE","21","UKRN01","Full-time","Yes","","4","Final Year","Psychology","female",2,1,1,-1,2,1,1,1,2,1,1,-1,1,-1,-1,-1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,-1,-1,1,1,1,1,0,"",0,0,1,"",1,0,"UKRN",2,192,NA,9,0.5625,6,0.75,4,0,1,1,1,1,1,1,1,1,1,1
"19063897","100",1444,"TRUE","19","UNI19","Full-time","No","","3","Year 1","Psychology ","Female ",2,2,0,-2,0,1,0,-1,0,-2,1,2,1,-2,-1,-2,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,2,1,-1,-1,-1,0,-1,0,NA,"",1,1,1,"",1,0,"Non-UKRN",2,613,NA,-1,-0.0625,0,0,6,2,1,1,1,1,1,0,1,1,1,1
"200068396","100",488,"TRUE","19","UNI06","Full-time","Yes","","4","Year 1","Psychology ","Female",2,1,0,-1,1,1,1,1,1,-1,1,-1,1,-1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,-1,-1,1,0,-1,-1,1,0,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,540,NA,7,0.4375,-2,-0.25,4,4,1,1,1,1,1,0,1,1,1,1
"2016919","100",2299,"TRUE","18","UNI74","Full-time","No","","2","Year 1","Psychology BSc","Female",1,1,0,0,0,1,1,0,1,0,-1,2,2,-1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,2,1,1,-1,-1,0,-1,1,1,0,"Studies that are difficult or impossible to replicate and test for reliability",1,0,1,"",1,0,"Non-UKRN",2,348,0,8,0.5,2,0.25,4,4,1,1,1,1,1,1,1,1,1,1
"2468","71",353,"FALSE","37","UKRN01","Full-time","Yes","","3","Year 2","Psychology counselling and mental health","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"",NA,NA,NA,"",1,0,"UKRN",2,723,NA,0,0,0,0,7,1,1,1,1,1,1,0,0,0,0,1
"6579628","100",1614,"TRUE","19","UKRN01","Full-time","Yes","","4","Year 2","psychology ","female ",0,0,1,2,-1,1,-1,-1,1,0,1,1,1,-1,-1,-1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,-1,0,1,1,1,1,"A period of time in psychology research when individuals replicated previous research and found it was not replicable and found invalid results. This changed how research is carried out in psychology.",0,0,1,"",1,0,"UKRN",2,277,0,2,0.125,4,0.5,4,4,1,1,1,1,1,1,1,1,1,1
"AA2302","100",680,"TRUE","19","UNI73","Full-time","No","","3","Year 2","BSc Psychology","Female",1,2,1,1,1,1,2,-1,1,1,1,-1,0,1,-1,-1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,2,1,-1,-1,0,1,-1,1,1,1,"The difficulties in trying to replicate a study such as the same sample or materials can be hard to replicate exactly. ",1,0,1,"",1,0,"Non-UKRN",2,247,0,9,0.5625,2,0.25,5,3,1,1,1,1,1,1,1,1,1,1
"AA4802","100",840,"TRUE","20","UNI06","Full-time","Yes","","4","Year 2","psychology","female",0,0,1,0,1,-1,-1,0,0,1,0,1,0,-1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,-2,0,0,0,0,NA,"",0,1,0,"",1,0,"Non-UKRN",2,237,NA,2,0.125,0,0,6,2,1,1,1,1,1,0,1,1,1,1
"AA7370","100",920,"TRUE","19","UNI06","Full-time","No","","3","Year 1","Psychology ","Female",2,2,0,0,2,1,2,0,2,1,0,-1,0,0,0,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,-1,-1,0,1,0,NA,"",0,1,0,"",1,0,"Non-UKRN",2,624,NA,10,0.625,3,0.375,8,0,1,1,1,1,1,0,1,1,1,1
"AA8362","100",680,"TRUE","21","UKRN01","Full-time","Yes","","4","Placement Year","BSc Psychology","Female",2,1,2,1,2,2,2,2,2,1,2,1,2,1,-1,-1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,2,1,2,1,1,2,1,2,1,0,"When researchers are biased in publishing studies that only show significant results or results they hoped to find. This means that the studies that are replicated do not produce significant results when it is carried out the way it should be.",1,0,1,"",1,0,"UKRN",2,112,1,21,1.3125,12,1.5,8,4,1,1,1,1,1,1,1,1,1,1
"AB0050","100",1648,"TRUE","20","UNI79","Full-time","No","","3","Year 1","Psychology BS","Male",1,2,1,-1,2,-1,2,2,1,-2,-1,1,1,0,-1,-2,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,2,-1,2,-1,-1,2,-1,1,0,NA,"",1,0,1,"",1,0,"Non-UKRN",2,640,NA,5,0.3125,3,0.375,3,2,1,1,1,1,1,0,1,1,1,1
