"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q1","Q5","Q6","Q26","Q14","Q9","Q9_3_TEXT","Q15","Q2nd.Year9","Q8","Q17","Q11","Q12","Q13","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q28_12","Q28_13","Q28_14","Q28_15","Q28_16","Q18.1_1","Q18.1_2","Q18.1_3","Q18.1_4","Q18.1_5","Q18.1_6","Q18.1_7","Q18.1_8","Q18.2_1","Q18.2_2","Q18.2_3","Q18.2_4","Q18.2_5","Q18.2_6","Q18.2_7","Q18.2_8","Q22","Q23","Q31","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q48","Q47"
"1","Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Have you read and understood the Information Sheet?","Do you agree to take part in the study?","","If other, please name:","Is your course full-time or part-time?","Does your course include a placement year? - Selected Choice","Does your course include a placement year? - Other (Please specify) - Text","How many years is your course?","What is your current year of study (not including a placement year)?","How many years is your course?","What year of study are you in?","What is the name of your course?","Did you complete any psychology subjects in secondary school/college?","What is your Gender?","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is important to repeat studies with a different sample of participants to see if you get the same results","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is a waste of time and money for researchers to repeat a successful study twice","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is important for researchers to share the code they have used to analyse the data in their study","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Researchers should keep all of the questionnaires and tasks that they use protected so that other researchers do not copy their work","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Researchers should make their teaching materials freely available for other researchers to use","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Researchers should not share their teaching materials because they belong to the university","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Everyone should have free access to journal articles","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is fair that journals charge people and universities a fee to access journal articles","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - After a study, it is important that data from the study are freely available and easy to understand, for anyone who wants to view it","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Researchers should keep all data from their studies protected, so only their research team can access them","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is important to decide how many participants you will test before starting a study","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - It is good research practice to keep testing participants until you find the result you are hoping for","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - Before they start to collect data, researchers should state their plans for the study in a time-stamped file online","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - After you have collected your data, it is important to try lots of different analyses and report those that produce interesting findings","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - You should report the results of your study online as soon as your study has been completed","For each of the following statements, select whether you strongly disagree, disagree, have no opinion, agree or strongly agree by ticking the box. - You shouldnÇƒÙt report the results of a study online until a journal has reviewed them","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Open data","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Open materials/code","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Open access journals","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Study preregistration","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Print archiving/Preprints","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Open educational materials","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Power analysis","Please tick which of the following research practices you have heard of, and which of the followi... - For each practice: - Replication studies","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open data","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open materials/code","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open access journals","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Study preregistration","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Print archiving/Preprints","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Open educational materials","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Power analysis","Please tick all of the following research practices you have heard of, and which of the following... - Q18#2 - Replication studies","In 2014, Ifrah published research claiming people who drink more caffeine sleep less. Jane is now researching the same question and copies Ifrah‚Äôs method exactly. She contacted Ifrah to get a copy of her original questionnaires but couldn‚Äôt get access to them.

 

Jane is right to replicate Ifrah‚Äôs study to see if her results are reliable","Ifrah was correct to not share all of the materials (e.g., questionnaires) she used","Samad was investigating if listening to classical music increases IQ.
Before he collected his data, he shared his hypothesis, method, analysis plan and
all the materials he was going to use online. He then went on to collect his
data and later published his results in a journal that was free for anyone to
access.

Samad
was correct to publish his work in a journal that anyone could freely access including
members of the public","It was not sensible for Samad to share details of his study before
collecting data","Sadia
completed a study showing that eating cabbage made people less happy. She wrote
a paper and made it available online, before it was reviewed by a journal. She also
put her raw data online (anonymised) and anyone could access it.
Sadia
should not have shared her paper until an academic journal had reviewed it","It
is ok for Sadia to make her data available online","Glen
is a researcher investigating the effect of eating sugar on how well people concentrate.
His initial results did not show a significant effect (no significant p-value).
He then added some more participants to the study. This time Glen‚Äôs results did
have a significant p-value. From his research, he developed a new lecture for undergraduates,
but would not share it with other lecturers. 

Glen
was correct to not decide on the number of participants before he started collecting
data for his study","Glen
should share his lecture slides with other lecturers","Have you heard or something called ""the replication / reproducibility crisis""?","Did you learn about ‚Äúthe replication / reproducibility crisis‚Äù on your course?","What do you think ‚Äúthe replication /
reproducibility crisis‚Äù is?","Could you explain what ""Open Research"" is to
another student?","Do you learn about ‚ÄúOpen Research‚Äù or ‚ÄúOpen
Science‚Äù on your course?","Do you think the issues raised in this questionnaire are applicable to undergraduate students?","Any additional comments?"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","","","{""ImportId"":""QID26_TEXT""}","","","","","{""ImportId"":""QID2nd Year5""}","","","","","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID7_12""}","{""ImportId"":""QID7_13""}","{""ImportId"":""QID7_14""}","{""ImportId"":""QID7_15""}","{""ImportId"":""QID7_16""}","{""ImportId"":""QID7_17""}","{""ImportId"":""QID7_19""}","{""ImportId"":""QID10#1_1""}","{""ImportId"":""QID10#1_4""}","{""ImportId"":""QID10#1_5""}","{""ImportId"":""QID10#1_6""}","{""ImportId"":""QID10#1_7""}","{""ImportId"":""QID10#1_8""}","{""ImportId"":""QID10#1_9""}","{""ImportId"":""QID10#1_10""}","{""ImportId"":""QID18#2_1""}","{""ImportId"":""QID18#2_2""}","{""ImportId"":""QID18#2_3""}","{""ImportId"":""QID18#2_4""}","{""ImportId"":""QID18#2_5""}","{""ImportId"":""QID18#2_6""}","{""ImportId"":""QID18#2_7""}","{""ImportId"":""QID18#2_8""}","{""ImportId"":""QID19""}","{""ImportId"":""QID67""}","{""ImportId"":""QID20""}","{""ImportId"":""QID68""}","{""ImportId"":""QID21""}","{""ImportId"":""QID69""}","{""ImportId"":""QID22""}","{""ImportId"":""QID70""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}"
"3","07/03/2022 08:27","07/03/2022 08:49","0","100","1310","1","07/03/2022 08:49","R_1f1b1MVvYnkhKUI","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","2","5","2","4","2","4","2","5","2","5","2","5","2","3","2","2","3","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","0","4","2","4","2","2","4","2","4","1","1","the results of classic studies cannot be replicated so their reliability is questioned","3","3","1",""
"4","07/03/2022 13:34","07/03/2022 15:15","0","100","6061","1","07/03/2022 15:15","R_29p5tutPRx4oBjP","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","1","3","2","3","4","4","2","4","2","5","2","3","4","2","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","4","2","5","2","5","2","2","4","3","","","1","3","2",""
"5","07/03/2022 16:56","07/03/2022 17:18","0","100","1313","1","07/03/2022 17:18","R_3gF1HkL9OJ1FLHz","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","4","4","3","1","4","4","5","3","5","5","5","4","4","3","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","3","4","4","2","4","3","2","4","3","","","1","1","1",""
"6","07/03/2022 17:34","07/03/2022 18:20","0","100","2754","1","07/03/2022 18:20","R_3hzQLhCRHS6n8Zo","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","5","2","4","2","4","2","5","1","5","4","3","1","4","3","3","4","1","1","1","1","1","1","1","1","0","0","1","0","0","1","0","1","4","2","4","3","4","2","1","5","1","1","It refers to the concern of how accurate findings would be when replicating a study; whether or not it would give similar results when using the same exact methods and procedures","3","1","1",""
"7","07/03/2022 16:04","07/03/2022 20:16","0","100","15076","1","07/03/2022 20:16","R_32XVqlXtaNDTEMc","anonymous","EN","1","","UKRN09","","","","","","1st Year","","","","","1","5","2","2","2","2","2","5","1","5","2","4","4","3","4","3","4","1","","1","1","","1","","1","0","0","1","0","0","1","0","1","4","4","4","2","2","4","4","4","2","","","1","1","1",""
"8","08/03/2022 02:22","08/03/2022 02:41","0","100","1166","1","08/03/2022 02:41","R_3GcUAxP2ylrrdL2","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","3","2","3","2","4","2","2","4","4","2","4","1","4","2","2","3","1","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","4","2","4","3","3","4","2","4","1","3","belief that results of studies can't be reproduced and are wrong","3","2","1",""
"9","08/03/2022 03:24","08/03/2022 03:40","0","100","938","1","08/03/2022 03:40","R_bNukOLEulSBcNy1","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","4","2","2","3","4","3","5","2","4","2","4","4","4","2","2","4","1","1","1","1","1","1","1","1","0","0","1","0","1","0","0","0","4","4","4","5","4","3","2","2","3","","","2","2","1",""
"10","08/03/2022 03:38","08/03/2022 03:44","0","100","379","1","08/03/2022 03:44","R_1i3bvn83BG6V8kD","anonymous","EN","1","","UKRN09","","","","","","2nd Year","","","","","2","1","3","2","3","2","3","4","4","3","3","3","2","3","4","5","4","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","5","3","4","3","1","4","2","4","2","","","1","1","1",""
