"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
3,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,1,1,1,1,1,2,1,2,1,2,1,0,1,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,16,1,8,1,8,2,1,1,1,0,0,1,""
4,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,2,0,1,0,-1,1,1,1,1,2,1,0,-1,-1,-2,1,1,2,1,-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,7,0.4375,4,0.5,8,7,0,0,NA,1,0,0,""
5,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,1,-1,0,2,1,-1,2,0,2,-2,2,-1,1,0,0,-1,1,1,-1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,8,0.5,2,0.25,8,1,0,0,NA,1,1,1,""
6,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,1,1,1,1,2,2,2,-1,0,2,1,0,0,-1,1,1,1,0,-1,-1,2,2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,14,0.875,5,0.625,8,3,1,1,0,0,1,1,""
7,"100","UKRN09","","Year 1","","","","1","UKRN",3,2,1,-1,1,-1,1,2,2,2,1,1,-1,0,-1,0,-1,1,-1,1,1,1,1,-1,1,1,NA,1,1,NA,1,NA,1,0,0,1,0,0,1,0,1,8,0.5,4,0.5,NA,3,0,0,NA,1,1,1,""
8,"100","UKRN09","","Year 2","","","","2","UKRN",3,0,1,0,1,1,1,-1,-1,1,1,1,2,1,1,-1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,8,0.5,6,0.75,8,2,1,0,1,0,0,1,""
9,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,-1,0,1,0,2,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-2,-1,0,1,-1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,7,0.4375,-2,-0.25,8,2,0,0,NA,0,0,1,""
10,"100","UKRN09","","Year 2","","","","2","UKRN",3,-2,0,-1,0,-1,0,1,-1,0,0,0,1,0,-1,2,-1,2,0,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,-3,-0.1875,8,1,8,1,0,0,NA,1,1,1,""
11,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,2,2,2,1,1,0,1,2,1,2,1,0,0,-1,2,2,2,2,-1,1,2,-2,1,NA,1,1,NA,1,NA,1,0,0,1,0,0,0,0,0,16,1,8,1,NA,1,1,1,1,0,0,0,""
12,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,2,2,2,2,2,-1,2,2,2,2,0,2,-1,-2,2,-1,1,-2,-2,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,1.1875,1,0.125,8,7,1,1,1,1,1,1,""
13,"100","UKRN09","","Year 1","","","","2","UKRN",3,1,1,1,1,2,2,2,2,1,-1,0,2,-1,-1,-1,0,0,1,2,-1,0,2,0,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,11,0.6875,6,0.75,8,3,0,0,NA,0,0,1,""
14,"100","UKRN09","","Year 2","","","","2","UKRN",3,1,1,1,-1,-1,1,2,0,1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,2,0.125,2,0.25,8,4,1,1,0,1,1,0,""
15,"100","UKRN09","","Year 2","","","","1","UKRN",3,2,2,2,2,1,1,2,1,2,2,2,1,2,1,-1,-2,1,1,2,0,-1,0,2,2,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,20,1.25,7,0.875,8,5,1,1,0,0,0,1,""
16,"100","UKRN09","","Year 2","","","","2","UKRN",3,2,1,1,1,1,1,1,0,1,2,2,1,0,0,1,2,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,17,1.0625,4,0.5,8,3,0,0,NA,1,0,1,""
17,"100","UKRN09","","Year 1","","","","2","UKRN",3,2,2,1,-1,1,1,1,1,2,1,1,2,1,1,0,0,0,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,16,1,0,0,8,2,1,1,1,1,1,1,""
