"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","long_desc","crisis_explain","include","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
3,"100",1310,"1","UKRN09","","","","","Year 1","","","","","2",2,1,1,1,1,1,2,1,2,1,2,1,0,1,-1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,"the results of classic studies cannot be replicated so their reliability is questioned",0,0,1,"","the results of classic studies cannot be replicated so their reliability is questioned",1,1,"UKRN",3,16,1,8,1,8,2,1,1,1,1,1,1,1,1,1,1
4,"100",6061,"1","UKRN09","","","","","Year 2","","","","","2",2,2,0,1,0,-1,1,1,1,1,2,1,0,-1,-1,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,-2,-1,1,1,0,0,"",1,0,0,"","",NA,1,"UKRN",3,7,0.4375,4,0.5,8,7,1,1,1,1,1,1,1,1,1,0
5,"100",1313,"1","UKRN09","","","","","Year 2","","","","","2",1,1,1,-1,0,2,1,-1,2,0,2,-2,2,-1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,-1,1,1,-1,0,1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,8,0.5,2,0.25,8,1,1,1,1,1,1,1,1,1,1,0
6,"100",2754,"1","UKRN09","","","","","Year 2","","","","","2",2,1,1,1,1,1,2,2,2,-1,0,2,1,0,0,-1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,-1,-1,2,2,1,1,"It refers to the concern of how accurate findings would be when replicating a study; whether or not it would give similar results when using the same exact methods and procedures",0,1,1,"","It refers to the concern of how accurate findings would be when replicating a study; whether or not it would give similar results when using the same exact methods and procedures",0,1,"UKRN",3,14,0.875,5,0.625,8,3,1,1,1,1,1,1,1,1,1,1
7,"100",15076,"1","UKRN09","","","","","Year 1","","","","","1",2,1,-1,1,-1,1,2,2,2,1,1,-1,0,-1,0,-1,1,NA,1,1,NA,1,NA,1,0,0,1,0,0,1,0,1,1,-1,1,1,1,1,-1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,8,0.5,4,0.5,NA,3,1,0,1,1,1,1,1,1,1,0
8,"100",1166,"1","UKRN09","","","","","Year 2","","","","","2",0,1,0,1,1,1,-1,-1,1,1,1,2,1,1,-1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,"belief that results of studies can't be reproduced and are wrong",0,0,1,"","belief that results of studies can't be reproduced and are wrong",1,1,"UKRN",3,8,0.5,6,0.75,8,2,1,1,1,1,1,1,1,1,1,1
9,"100",938,"1","UKRN09","","","","","Year 2","","","","","2",1,1,-1,0,1,0,2,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,-1,1,-2,-1,0,1,-1,0,0,"",0,0,1,"","",NA,1,"UKRN",3,7,0.4375,-2,-0.25,8,2,1,1,1,1,1,1,1,1,1,0
10,"100",379,"1","UKRN09","","","","","Year 2","","","","","2",-2,0,-1,0,-1,0,1,-1,0,0,0,1,0,-1,2,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,0,2,1,1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,-3,-0.1875,8,1,8,1,1,1,1,1,1,1,1,1,1,0
11,"100",2352,"1","UKRN09","","","","","Year 1","","","","","2",1,1,2,2,2,1,1,0,1,2,1,2,1,0,0,-1,1,NA,1,1,NA,1,NA,1,0,0,1,0,0,0,0,0,2,2,2,2,-1,1,2,-2,1,1,"the crisis within psychological research concerning the credibility of research",0,0,0,"","the crisis within psychological research concerning the credibility of research",1,1,"UKRN",3,16,1,8,1,NA,1,1,0,1,1,1,1,1,1,1,1
12,"100",3301,"1","UKRN09","","","","","Year 2","","","","","2",2,1,2,2,2,2,2,-1,2,2,2,2,0,2,-1,-2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,-1,1,-2,-2,-1,2,2,1,1,"An issue where a lot of published research has issues with replication, meaning a lot of studies actually cannot be 'redone' by other researchers and produce similar results to the original. It is heavily emphasised today, due to the scientific method, that research should be designed in a manner where it can be reproduced by others (both experiment layout and results). This has made a lot of conventional studies invalid. ",1,1,1,"","An issue where a lot of published research has issues with replication, meaning a lot of studies actually cannot be 'redone' by other researchers and produce similar results to the original. It is heavily emphasised today, due to the scientific method, that research should be designed in a manner where it can be reproduced by others (both experiment layout and results). This has made a lot of conventional studies invalid. ",1,1,"UKRN",3,19,1.1875,1,0.125,8,7,1,1,1,1,1,1,1,1,1,1
